R#,NAME,TOTAL,POS,TEAM,GP,PTS,TREB,AST,STL,BLK,FGM,FTM,TO,DD,TD
126,Naz Reid,28.9,"PF,C",MIN,81,13.5,5.2,1.3,0.8,0.9,5,1.4,1.4,0.1,0
127,Jeremy Sochan,28.7,"PG,PF",SA,74,11.6,6.4,3.4,0.8,0.5,4.6,1.5,1.9,0.1,0
128,Draymond Green,28.5,"PF,C",GS,55,8.6,7.2,6,1,0.9,3.4,1,2.5,0.2,0
129,Grayson Allen,28.3,"SG,SF",PHO,75,13.5,3.9,3,0.9,0.6,4.5,1.7,1.3,0,0
130,GG Jackson II,28.1,"SF,PF",MEM,48,14.6,4.1,1.2,0.6,0.5,5,2.4,1.4,0,0
131,Max Strus,27.9,"SG,SF",CLE,70,12.2,4.8,4,0.9,0.4,4.3,1.1,1.6,0.1,0
132,Nick Richards,27.8,C,CHA,67,9.7,8,0.8,0.4,1.1,3.9,2,1.1,0.3,0
133,Russell Westbrook,27.8,PG,LAC,68,11.1,5,4.5,1.1,0.3,4.4,1.6,2.1,0.1,0
134,Rui Hachimura,27.7,"SF,PF",LAL,68,13.6,4.3,1.2,0.6,0.4,5.3,1.5,0.7,0.1,0
135,Marvin Bagley III,27.7,"PF,C",WAS,50,11.7,6.2,1.1,0.4,0.7,4.8,1.9,1.2,0.2,0
136,Andrew Wiggins,27.6,"SF,PF",GS,71,13.2,4.5,1.7,0.6,0.6,5,2,1.2,0,0
137,Amen Thompson,27.6,"PG,SG,SF",HOU,62,9.5,6.6,2.6,1.3,0.6,3.9,1.7,1.5,0.2,0
138,Cameron Johnson,27.6,"SF,PF",BKN,58,13.4,4.3,2.4,0.8,0.3,4.8,1.5,1,0,0
139,Wendell Carter Jr.,27.4,C,ORL,55,11,6.9,1.7,0.6,0.5,4.1,1.7,1.2,0.2,0
140,Tari Eason,27.2,"SF,PF",HOU,22,9.8,7,1.2,1.4,0.9,4,1,0.9,0.1,0
141,Mike Conley,27.2,PG,MIN,76,11.4,2.9,5.9,1.1,0.2,3.9,1.3,1.3,0.1,0
142,Isaiah Hartenstein,27.1,C,NY,75,7.8,8.3,2.5,1.2,1.1,3.1,1.5,1.2,0.1,0
143,Onyeka Okongwu,27,C,ATL,55,10.2,6.8,1.3,0.5,1.1,4.1,1.7,0.8,0.1,0
144,Brandon Clarke,26.9,"PF,C",MEM,6,11.3,5.3,1.5,0.8,1,5.5,0.2,0.5,0,0
145,Jalen Suggs,26.7,"PG,SG",ORL,75,12.6,3.1,2.7,1.4,0.6,4.5,1.6,1.8,0,0
146,Bojan Bogdanovic,26.5,"SG,SF,PF",NY,57,15.2,2.7,1.7,0.5,0.1,5.4,2.1,1.8,0,0
147,Tim Hardaway Jr.,26.5,"SG,SF",DAL,79,14.4,3.2,1.8,0.5,0.1,5,1.8,0.9,0,0
148,Santi Aldama,26.4,"PF,C",MEM,61,10.7,5.8,2.3,0.7,0.9,4.1,0.9,1.1,0.1,0
149,Tre Jones,26.4,PG,SA,77,10,3.8,6.2,1,0.1,3.9,1.3,1.5,0.1,0
150,Walker Kessler,26.3,C,UTA,64,8.1,7.5,0.9,0.5,2.4,3.6,0.9,1,0.1,0
